sample,category,value
01115668-TA4,Enhancer TD,no
01115669-TA3,Enhancer TD,no
06115115-T,Enhancer TD,yes
06115117-T,Enhancer TD,yes
06115118-T,Enhancer TD,yes
6115233-T-C1,Enhancer TD,yes
DTB-003-BL,Enhancer TD,no
DTB-005-BL,Enhancer TD,no
DTB-008-BL,Enhancer TD,yes
DTB-009-BL,Enhancer TD,no
DTB-011-BL,Enhancer TD,no
DTB-018-BL,Enhancer TD,no
DTB-019-PRO,Enhancer TD,yes
DTB-020-BL,Enhancer TD,no
DTB-021-BL,Enhancer TD,yes
DTB-022-BL,Enhancer TD,yes
